episode_index,camera,source_file,ss,t
0,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,0.000000,40.700000
1,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,40.700000,31.350000
2,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,72.050000,31.100000
3,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,103.150000,30.700000
4,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,133.850000,30.250000
5,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,164.100000,31.950000
6,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,196.050000,33.450000
7,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,229.500000,31.150000
8,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,260.650000,31.500000
9,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,292.150000,29.700000
10,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,321.850000,30.700000
11,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,352.550000,30.400000
12,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,382.950000,31.500000
13,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,414.450000,28.350000
14,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,442.800000,30.850000
15,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,473.650000,30.500000
16,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,504.150000,30.550000
17,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,534.700000,31.050000
18,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,565.750000,32.250000
19,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,598.000000,30.300000
20,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,628.300000,29.850000
21,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,658.150000,31.250000
22,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-000.mp4,689.400000,30.900000
23,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-001.mp4,0.000000,30.750000
24,observation.images.side,D:\VinRobotics\Team_vla.cpp\_scratch\v21_staging\ur10e-cup-local\videos\observation.images.side\chunk-000\file-001.mp4,30.750000,31.050000
