episode_index,length,dataset_from_index,dataset_to_index,side_chunk_index,side_file_index,side_from_timestamp,side_to_timestamp,wrist_chunk_index,wrist_file_index,wrist_from_timestamp,wrist_to_timestamp
0,814,0,814,0,0,0.0,40.7,0,0,0.0,40.7
1,627,814,1441,0,0,40.7,72.05000000000001,0,0,40.7,72.05000000000001
2,622,1441,2063,0,0,72.05000000000001,103.15,0,0,72.05000000000001,103.15
3,614,2063,2677,0,0,103.15,133.85,0,0,103.15,133.85
4,605,2677,3282,0,0,133.85,164.1,0,0,133.85,164.1
5,639,3282,3921,0,0,164.1,196.04999999999998,0,0,164.1,196.04999999999998
6,669,3921,4590,0,0,196.04999999999998,229.5,0,0,196.04999999999998,229.5
7,623,4590,5213,0,0,229.5,260.65,0,0,229.5,260.65
8,630,5213,5843,0,0,260.65,292.15,0,0,260.65,292.15
9,594,5843,6437,0,0,292.15,321.84999999999997,0,0,292.15,321.84999999999997
10,614,6437,7051,0,0,321.84999999999997,352.54999999999995,0,0,321.84999999999997,352.54999999999995
11,608,7051,7659,0,0,352.54999999999995,382.94999999999993,0,0,352.54999999999995,382.94999999999993
12,630,7659,8289,0,0,382.94999999999993,414.44999999999993,0,0,382.94999999999993,414.44999999999993
13,567,8289,8856,0,0,414.44999999999993,442.79999999999995,0,0,414.44999999999993,442.79999999999995
14,617,8856,9473,0,0,442.79999999999995,473.65,0,0,442.79999999999995,473.65
15,610,9473,10083,0,0,473.65,504.15,0,0,473.65,504.15
16,611,10083,10694,0,0,504.15,534.6999999999999,0,0,504.15,534.6999999999999
17,621,10694,11315,0,0,534.6999999999999,565.7499999999999,0,0,534.6999999999999,565.7499999999999
18,645,11315,11960,0,0,565.7499999999999,597.9999999999999,0,0,565.7499999999999,597.9999999999999
19,606,11960,12566,0,0,597.9999999999999,628.2999999999998,0,0,597.9999999999999,628.2999999999998
20,597,12566,13163,0,0,628.2999999999998,658.1499999999999,0,0,628.2999999999998,658.1499999999999
21,625,13163,13788,0,0,658.1499999999999,689.3999999999999,0,0,658.1499999999999,689.3999999999999
22,618,13788,14406,0,0,689.3999999999999,720.2999999999998,0,0,689.3999999999999,720.2999999999998
23,615,14406,15021,0,1,0.0,30.75,0,0,720.2999999999998,751.0499999999998
24,621,15021,15642,0,1,30.75,61.8,0,0,751.0499999999998,782.0999999999998
25,612,15642,16254,0,1,61.8,92.4,0,0,782.0999999999998,812.6999999999998
26,641,16254,16895,0,1,92.4,124.45,0,0,812.6999999999998,844.7499999999998
27,627,16895,17522,0,1,124.45,155.8,0,0,844.7499999999998,876.0999999999998
28,621,17522,18143,0,1,155.8,186.85000000000002,0,0,876.0999999999998,907.1499999999997
29,619,18143,18762,0,1,186.85000000000002,217.8,0,0,907.1499999999997,938.0999999999998
30,641,18762,19403,0,1,217.8,249.85000000000002,0,0,938.0999999999998,970.1499999999997
31,588,19403,19991,0,1,249.85000000000002,279.25,0,0,970.1499999999997,999.5499999999997
32,581,19991,20572,0,1,279.25,308.3,0,0,999.5499999999997,1028.5999999999997
33,604,20572,21176,0,1,308.3,338.5,0,0,1028.5999999999997,1058.7999999999997
34,607,21176,21783,0,1,338.5,368.85,0,0,1058.7999999999997,1089.1499999999996
35,628,21783,22411,0,1,368.85,400.25,0,0,1089.1499999999996,1120.5499999999997
36,628,22411,23039,0,1,400.25,431.65,0,0,1120.5499999999997,1151.9499999999998
37,599,23039,23638,0,1,431.65,461.59999999999997,0,0,1151.9499999999998,1181.8999999999999
38,613,23638,24251,0,1,461.59999999999997,492.24999999999994,0,1,0.0,30.65
39,631,24251,24882,0,1,492.24999999999994,523.8,0,1,30.65,62.2
40,578,24882,25460,0,1,523.8,552.6999999999999,0,1,62.2,91.1
41,623,25460,26083,0,1,552.6999999999999,583.8499999999999,0,1,91.1,122.25
42,603,26083,26686,0,1,583.8499999999999,613.9999999999999,0,1,122.25,152.4
43,604,26686,27290,0,1,613.9999999999999,644.1999999999999,0,1,152.4,182.6
44,587,27290,27877,0,1,644.1999999999999,673.55,0,1,182.6,211.95
45,612,27877,28489,0,1,673.55,704.15,0,1,211.95,242.54999999999998
46,621,28489,29110,0,1,704.15,735.1999999999999,0,1,242.54999999999998,273.59999999999997
47,588,29110,29698,0,2,0.0,29.4,0,1,273.59999999999997,302.99999999999994
48,601,29698,30299,0,2,29.4,59.45,0,1,302.99999999999994,333.04999999999995
49,612,30299,30911,0,2,59.45,90.05000000000001,0,1,333.04999999999995,363.65
50,619,30911,31530,0,2,90.05000000000001,121.00000000000001,0,1,363.65,394.59999999999997
51,617,31530,32147,0,2,121.00000000000001,151.85000000000002,0,1,394.59999999999997,425.45
52,607,32147,32754,0,2,151.85000000000002,182.20000000000002,0,1,425.45,455.8
53,586,32754,33340,0,2,182.20000000000002,211.50000000000003,0,1,455.8,485.1
54,587,33340,33927,0,2,211.50000000000003,240.85000000000002,0,1,485.1,514.45
55,599,33927,34526,0,2,240.85000000000002,270.8,0,1,514.45,544.4000000000001
56,606,34526,35132,0,2,270.8,301.1,0,1,544.4000000000001,574.7
57,580,35132,35712,0,2,301.1,330.1,0,1,574.7,603.7
58,621,35712,36333,0,2,330.1,361.15000000000003,0,1,603.7,634.75
59,607,36333,36940,0,2,361.15000000000003,391.50000000000006,0,1,634.75,665.1
60,597,36940,37537,0,2,391.50000000000006,421.3500000000001,0,1,665.1,694.95
61,601,37537,38138,0,2,421.3500000000001,451.4000000000001,0,1,694.95,725.0
62,602,38138,38740,0,2,451.4000000000001,481.5000000000001,0,1,725.0,755.1
63,612,38740,39352,0,2,481.5000000000001,512.1000000000001,0,1,755.1,785.7
64,592,39352,39944,0,2,512.1000000000001,541.7000000000002,0,1,785.7,815.3000000000001
65,656,39944,40600,0,2,541.7000000000002,574.5000000000001,0,1,815.3000000000001,848.1
66,593,40600,41193,0,2,574.5000000000001,604.1500000000001,0,1,848.1,877.75
67,651,41193,41844,0,2,604.1500000000001,636.7,0,1,877.75,910.3
68,599,41844,42443,0,2,636.7,666.6500000000001,0,1,910.3,940.25
69,620,42443,43063,0,2,666.6500000000001,697.6500000000001,0,1,940.25,971.25
70,606,43063,43669,0,3,0.0,30.3,0,1,971.25,1001.55
71,571,43669,44240,0,3,30.3,58.85,0,1,1001.55,1030.1
72,625,44240,44865,0,3,58.85,90.1,0,1,1030.1,1061.35
73,675,44865,45540,0,3,90.1,123.85,0,1,1061.35,1095.1
74,655,45540,46195,0,3,123.85,156.6,0,1,1095.1,1127.85
75,574,46195,46769,0,3,156.6,185.29999999999998,0,1,1127.85,1156.55
76,597,46769,47366,0,3,185.29999999999998,215.14999999999998,0,1,1156.55,1186.3999999999999
77,613,47366,47979,0,3,215.14999999999998,245.79999999999998,0,1,1186.3999999999999,1217.05
78,610,47979,48589,0,3,245.79999999999998,276.29999999999995,0,1,1217.05,1247.55
79,606,48589,49195,0,3,276.29999999999995,306.59999999999997,0,2,0.0,30.3
80,584,49195,49779,0,3,306.59999999999997,335.79999999999995,0,2,30.3,59.5
