episode_index,camera,f_onset,v_onset,offset,error
0,side,22,29,7,
0,wrist,22,25,3,
2,side,7,24,17,
2,wrist,7,20,13,
3,side,14,22,8,
3,wrist,14,16,2,
4,side,18,25,7,
4,wrist,18,21,3,
5,side,25,30,5,
5,wrist,25,29,4,
6,side,39,46,7,
6,wrist,39,41,2,
7,side,16,30,14,
7,wrist,16,25,9,
8,side,19,25,6,
8,wrist,19,21,2,
9,side,15,21,6,
9,wrist,15,18,3,
10,side,19,25,6,
10,wrist,19,21,2,
11,side,17,23,6,
11,wrist,17,20,3,
12,side,19,26,7,
12,wrist,19,22,3,
13,side,20,26,6,
13,wrist,20,22,2,
14,side,20,26,6,
14,wrist,20,23,3,
15,side,19,25,6,
15,wrist,19,21,2,
16,side,26,33,7,
16,wrist,26,28,2,
17,side,17,29,12,
17,wrist,17,23,6,
18,side,26,34,8,
18,wrist,26,29,3,
19,side,19,42,23,
19,wrist,19,22,3,
20,side,16,22,6,
20,wrist,16,19,3,
21,side,20,28,8,
21,wrist,20,23,3,
22,side,16,23,7,
22,wrist,16,18,2,
23,side,26,102,76,
23,wrist,26,29,3,
24,side,8,100,92,
24,wrist,8,21,13,
25,side,25,28,3,
25,wrist,25,28,3,
26,side,13,17,4,
26,wrist,13,16,3,
27,side,21,26,5,
27,wrist,21,25,4,
29,side,19,26,7,
29,wrist,19,22,3,
31,side,9,14,5,
31,wrist,9,12,3,
32,side,4,,,insufficient still frames in window
32,wrist,4,,,insufficient still frames in window
33,side,13,22,9,
33,wrist,13,21,8,
34,side,15,22,7,
34,wrist,15,18,3,
35,side,19,26,7,
35,wrist,19,22,3,
36,side,22,31,9,
36,wrist,22,25,3,
37,side,17,98,81,
37,wrist,17,19,2,
38,side,17,102,85,
38,wrist,17,20,3,
39,side,16,54,38,
39,wrist,16,21,5,
40,side,14,18,4,
40,wrist,14,17,3,
41,side,15,38,23,
41,wrist,15,34,19,
42,side,15,22,7,
42,wrist,15,18,3,
43,side,10,98,88,
43,wrist,10,16,6,
44,side,21,29,8,
44,wrist,21,24,3,
45,side,19,26,7,
45,wrist,19,22,3,
46,side,15,102,87,
46,wrist,15,18,3,
47,side,10,55,45,
47,wrist,10,14,4,
48,side,25,102,77,
48,wrist,25,28,3,
49,side,14,21,7,
49,wrist,14,17,3,
50,side,10,22,12,
50,wrist,10,17,7,
51,side,10,17,7,
51,wrist,10,12,2,
52,side,17,24,7,
52,wrist,17,20,3,
53,side,22,28,6,
53,wrist,22,25,3,
54,side,22,29,7,
54,wrist,22,25,3,
55,side,22,98,76,
55,wrist,22,24,2,
56,side,23,69,46,
56,wrist,23,26,3,
57,side,28,34,6,
57,wrist,28,31,3,
58,side,12,100,88,
58,wrist,12,13,1,
59,side,20,26,6,
59,wrist,20,23,3,
60,side,10,14,4,
60,wrist,10,13,3,
61,side,23,30,7,
61,wrist,23,25,2,
62,side,14,21,7,
62,wrist,14,17,3,
63,side,18,25,7,
63,wrist,18,21,3,
64,side,11,18,7,
64,wrist,11,14,3,
65,side,19,26,7,
65,wrist,19,22,3,
66,side,24,94,70,
66,wrist,24,27,3,
67,side,17,25,8,
67,wrist,17,20,3,
68,side,15,108,93,
68,wrist,15,17,2,
69,side,16,22,6,
69,wrist,16,18,2,
70,side,37,42,5,
70,wrist,37,40,3,
71,side,11,17,6,
71,wrist,11,15,4,
72,side,18,25,7,
72,wrist,18,21,3,
73,side,8,14,6,
73,wrist,8,11,3,
74,side,18,25,7,
74,wrist,18,21,3,
75,side,12,18,6,
75,wrist,12,15,3,
76,side,16,22,6,
76,wrist,16,19,3,
77,side,22,29,7,
77,wrist,22,25,3,
78,side,17,24,7,
78,wrist,17,19,2,
79,side,4,,,insufficient still frames in window
79,wrist,4,,,insufficient still frames in window
80,side,19,30,11,
80,wrist,19,26,7,
